"","date","dow","holiday","temp","rh","co","fsp","no2","o3h8max","copd"
"82",2005-03-23,3,0,20.9,77,1283.122794798,40.8464644228544,81.721794243962,52.095315473397,88
"83",2005-03-24,4,0,18.3,66,1057.9473562015,38.1248460653664,58.0314607025987,57.970315473397,84
"84",2005-03-25,5,1,17.2,70,928.225133979283,60.3464644228544,51.2774959983479,104.070315473397,98
"85",2005-03-26,6,1,17.4,83,778.641800645949,38.9098702199558,51.7220898198582,92.2480932511748,96
"86",2005-03-27,7,0,19.5,90,857.114022868171,38.0964644228544,67.7033096266215,51.7369821400637,111
"87",2005-03-28,1,1,22.8,91,956.836245090394,37.263131089521,73.1271090014439,21.595315473397,92
"88",2005-03-29,2,0,22.5,89,829.475133979283,26.7679620073954,55.0824521386988,21.0119821400637,88
"89",2005-03-30,3,0,17.3,93,866.583719837868,25.0686866450766,49.4356932454182,61.5258710289526,87
"90",2005-03-31,4,0,17.4,90,789.764989051746,12.7112305047257,54.3624728426325,56.2036488067303,84
"91",2005-04-01,5,0,18,91,822.649737153886,18.226094052484,56.9078299854897,52.470315473397,93
"92",2005-04-02,6,0,20.7,81,1802.9473562015,48.513131089521,96.04083449164,20.3036488067304,75
"93",2005-04-03,7,0,21.7,72,1186.35315330295,44.492673926225,72.47317677638,60.7976357312523,89
"94",2005-04-04,1,0,20.5,70,1059.75291175706,100.686440268265,65.749444892322,152.061585314667,80
"95",2005-04-05,2,1,20,76,846.697356201505,57.0964644228543,55.3807854720321,111.525871028953,87
"96",2005-04-06,3,0,22,83,759.136969728075,30.3325755339655,68.9010753271046,81.8314265845081,102
"97",2005-04-07,4,0,23.2,86,852.114022868171,37.597727049117,69.4070535879742,38.9286488067304,81
"98",2005-04-08,5,0,25,87,813.50291175706,33.4992422006321,44.3228309265776,25.6369821400637,94
"99",2005-04-09,6,0,25.9,84,790.308467312616,29.5825755339655,42.1349521386988,30.0536488067304,75
"100",2005-04-10,7,0,25.9,86,820.085037360925,31.8325755339655,42.8548796749307,31.470315473397,87
"101",2005-04-11,1,0,25.9,83,765.308467312616,28.5686866450766,39.5516188053655,20.6786488067304,84
"102",2005-04-12,2,0,21.3,90,1228.91957842373,25.9601007864907,51.2968921913997,20.0536488067304,69
"103",2005-04-13,3,0,16.1,91,1113.36402286817,30.8259330218882,65.4575711863178,46.6036488067303,60
"104",2005-04-14,4,0,19.8,75,1014.14575321512,39.3636361400261,75.7455087921902,48.3869821400637,61
"105",2005-04-15,5,0,21,79,997.669578423727,56.9159088672988,83.6391188053655,62.5258710289526,68
"106",2005-04-16,6,0,21,85,950.030689534838,60.8742422006321,61.5199521386988,85.8869821400637,67
"107",2005-04-17,7,0,21.4,80,839.475133979283,44.9992422006321,48.6849521386988,91.8369821400637,87
"108",2005-04-18,1,0,23.3,80,824.058467312616,40.3856058369958,74.3121451211549,47.8036488067304,84
"109",2005-04-19,2,0,24.1,79,914.558467312616,44.5964644228543,79.2582854720321,58.1786488067304,82
"110",2005-04-20,3,0,25.4,77,1442.88093108073,71.4593871281684,100.338782366442,138.80364880673,86
"111",2005-04-21,4,0,24.3,84,1079.89180064595,54.3331793986998,76.3264376459452,82.1369821400637,67
"112",2005-04-22,5,0,25.3,81,886.095504349653,36.8802808479751,61.4198727736194,31.6869821400637,87
"113",2005-04-23,6,0,25.7,83,839.75291175706,24.1659088672988,47.9766188053655,26.720315473397,74
"114",2005-04-24,7,0,25.1,87,811.932863447882,21.7492422006321,48.1215463415973,23.1369821400637,85
"115",2005-04-25,1,0,24.4,91,839.504373745364,26.1797977561877,49.7821012615058,32.0258710289526,58
"116",2005-04-26,2,0,23.5,89,868.641800645949,18.6242422006321,51.6443628938475,44.3869821400637,73
"117",2005-04-27,3,0,22.2,92,876.45999810037,29.4798453334092,59.216138560636,52.1758710289526,68
"118",2005-04-28,4,0,25,85,571.326985831134,21.9689391703291,56.2754534248523,26.3036488067304,78
"119",2005-04-29,5,0,27.2,83,424.475133979283,18.1520199784099,35.6341188053655,19.970315473397,71
"120",2005-04-30,6,0,27.7,82,465.725133979283,18.388131089521,31.4512564865249,19.5258710289526,62
"121",2005-05-01,7,1,27.8,82,453.364022868172,14.4714644228544,31.2474521386988,19.9619821400637,68
"122",2005-05-02,1,0,28,80,475.308467312616,19.488976500149,32.0237037856026,25.720315473397,89
"123",2005-05-03,2,0,28.1,79,432.871598625747,24.5139545414314,37.2830581993049,28.1647599178415,74
"124",2005-05-04,3,0,27.8,80,452.190512401183,24.0825755339655,36.4787927184089,24.1230932511748,59
"125",2005-05-05,4,0,28.2,77,410.956615460764,17.8242422006321,29.6275246024669,29.9619821400637,68
"126",2005-05-06,5,0,25.6,75,716.217558221707,33.0378895436273,82.2683348791467,118.945315473397,53
"127",2005-05-07,6,0,25.4,77,897.391800645949,27.5623735137634,64.6516188053655,59.845315473397,84
"128",2005-05-08,7,0,24.9,93,676.141800645949,33.2770199784099,68.3497036914938,66.9258710289526,69
"129",2005-05-09,1,0,24.6,91,573.364022868171,15.7248460653664,60.7124417867319,21.370315473397,79
"130",2005-05-10,2,0,24.2,94,689.605852933531,16.1639247403147,60.330784911167,32.7480932511748,86
"131",2005-05-11,3,0,24,94,606.326985831134,24.7447736015983,50.7310379972847,60.6369821400637,84
"132",2005-05-12,4,0,27.1,88,583.005180824547,20.9527446160911,47.127229257715,29.220315473397,86
"133",2005-05-13,5,0,28.8,81,556.470083474232,13.0686866450766,36.484757333504,30.2099980130796,95
"134",2005-05-14,6,0,29.1,79,520.864022868171,15.0547977561877,37.7871260517423,29.1536488067303,68
"135",2005-05-15,7,1,29.1,81,402.808467312616,12.2909088672988,30.679559981836,32.6786488067304,78
"136",2005-05-16,1,0,28.5,84,339.34832238508,7.98535331174324,28.4077782256553,30.095315473397,64
"137",2005-05-17,2,0,29.2,79,367.406230660379,8.46957048346041,28.050428329175,18.7619821400637,78
"138",2005-05-18,3,0,29.1,81,438.125927630076,14.2492422006321,33.9295173560901,23.8869821400637,68
"139",2005-05-19,4,0,26.3,92,671.262573592809,14.2921165967674,48.2768658409386,15.3036488067304,80
"140",2005-05-20,5,0,26.2,93,722.669578423727,29.4702566933858,50.6596451211549,58.2758710289526,66
"141",2005-05-21,6,0,27.1,88,575.725133979283,17.638131089521,42.4432854720321,34.0369821400637,76
"142",2005-05-22,7,0,29.1,75,537.065713689428,12.7613194953181,33.1199159068147,31.7619821400637,67
"143",2005-05-23,1,0,28,83,560.586245090394,10.763131089521,39.1141188053655,24.6786488067304,83
"144",2005-05-24,2,0,26.6,88,637.808467312616,17.9509330218882,60.4748566182772,22.5814265845081,71
"145",2005-05-25,3,0,26.8,87,656.419578423727,21.9249668383133,56.1411642599109,69.5536488067304,71
"146",2005-05-26,4,0,25.6,94,620.715472143534,15.4260647741938,45.4216188053655,67.5814265845081,74
"147",2005-05-27,5,0,25.8,92,566.836245090394,11.2533045633901,59.3735885023352,32.4286488067304,72
"148",2005-05-28,6,0,26.3,89,673.50291175706,20.3262624026523,57.8307994073721,56.470315473397,80
"149",2005-05-29,7,0,25.7,82,536.558467312616,12.4593871281684,32.6778092815559,64.070315473397,82
"150",2005-05-30,1,0,26.3,77,549.852118106267,16.3830805844705,38.8397093380212,71.2536488067304,68
"151",2005-05-31,2,0,26.7,83,489.197356201505,19.4020199784099,49.2807854720321,47.1508710289526,68
"152",2005-06-01,3,0,28.1,82,567.067726571875,17.6103533117432,44.3037927184089,39.5258710289526,69
"153",2005-06-02,4,0,29.3,82,529.846346100495,12.4866159380059,34.4430878435736,31.7401567432383,77
"154",2005-06-03,5,0,29.8,81,521.141800645949,16.5345408391916,44.0686148527963,34.2342043622859,75
"155",2005-06-04,6,0,27.1,92,482.896851151,15.1714644228544,54.0224521386988,22.095315473397,71
"156",2005-06-05,7,0,25.2,78,541.842283737737,27.5282277078785,48.0054066841533,87.2647599178415,75
"157",2005-06-06,1,0,25.6,82,493.931655718413,35.7997472511372,44.2061477908727,116.392537695619,76
"158",2005-06-07,2,0,25,84,478.50291175706,21.388131089521,44.4821012615058,91.1147599178415,79
"159",2005-06-08,3,0,26.3,82,482.919578423727,25.138131089521,39.6928850391317,66.1536488067303,60
"160",2005-06-09,4,0,25.7,87,597.035520452713,23.543324326236,42.013627086939,72.1369821400637,73
"161",2005-06-10,5,0,28,83,645.121269244983,35.928535129925,61.7166715062877,95.3274583305399,52
"162",2005-06-11,6,1,29.7,79,526.00291175706,13.0058847127094,39.0353309265776,61.345315473397,60
"163",2005-06-12,7,0,29.3,80,514.614022868171,11.3343871281684,42.5349521386988,48.8869821400637,62
"164",2005-06-13,1,0,27.9,86,611.836245090394,17.2770199784099,52.6557854720321,21.2619821400637,61
"165",2005-06-14,2,0,28.6,86,584.75291175706,17.6109571764775,48.5109294460977,43.3869821400637,53
"166",2005-06-15,3,0,27.2,92,668.194940742568,16.4669785705424,58.6651125941853,15.6369821400637,51
"167",2005-06-16,4,0,26.3,93,641.479102233251,13.0770199784099,58.9891105708464,19.8036488067304,48
"168",2005-06-17,5,0,26.8,91,564.75291175706,15.0446967460867,45.8641188053655,22.7730932511748,59
"169",2005-06-18,6,0,28.9,82,476.697356201505,11.7492422006321,27.9911115589886,26.8869821400637,53
"170",2005-06-19,7,0,29.4,80,437.083829631456,8.48535331174324,23.0037927184089,26.4842043622859,54
"171",2005-06-20,1,0,29.5,81,457.114022868172,11.9436866450766,27.2307854720321,23.7730932511748,53
"172",2005-06-21,2,0,28.7,84,517.530689534838,12.7694442208341,34.4693233929213,22.8036488067304,47
"173",2005-06-22,3,0,27.4,87,549.058467312616,13.1435658721297,44.9141188053655,26.1369821400637,52
"174",2005-06-23,4,0,26.7,91,601.455810307785,13.061440268265,49.9505318488437,20.638569441651,48
"175",2005-06-24,5,0,26.2,93,560.864022868171,11.835649754431,45.8364973219895,21.8076170606986,58
"176",2005-06-25,6,0,28.5,85,500.169578423727,13.1580586257529,35.1688807101274,23.7619821400637,54
"177",2005-06-26,7,0,28.7,85,491.975133979283,10.2438074180234,30.0224521386988,27.3869821400637,60
"178",2005-06-27,1,0,29.4,80,512.808467312616,15.0661613925513,33.2499521386988,29.8572202353018,51
"179",2005-06-28,2,0,29.4,82,505.308467312616,13.0535900267191,32.9138157750624,29.1369821400637,42
"180",2005-06-29,3,0,27.9,88,505.82175233677,7.85073792712786,33.1229956169597,24.2619821400637,48
"181",2005-06-30,4,0,26.1,91,519.475133979283,7.72300153308711,33.731613629382,22.595315473397,47
"182",2005-07-01,5,1,26.8,90,584.891800645949,9.27098133106691,32.6599521386988,24.8869821400637,55
"183",2005-07-02,6,0,28.2,87,587.975133979283,11.088131089521,28.6066188053655,23.970315473397,48
"184",2005-07-03,7,0,29.2,82,542.035520452712,19.9216335535542,26.4385917961428,30.3601357312523,51
"185",2005-07-04,1,0,29.9,78,483.225133979283,15.3740145059352,27.8644975932442,24.0476357312523,53
"186",2005-07-05,2,0,29.9,75,466.975133979283,7.65761160900154,32.4006162990998,22.845315473397,40
"187",2005-07-06,3,0,29.8,74,550.864022868171,19.0270199784099,57.9754824417291,48.3512678543494,54
"188",2005-07-07,4,0,28,85,669.378515621795,35.7055914069813,72.1819712427831,25.0536488067304,50
"189",2005-07-08,5,0,28.8,77,375.030689534838,9.44846266615694,32.5974521386988,23.4286488067304,54
"190",2005-07-09,6,0,27.4,86,422.114022868171,10.3729795743695,39.8349521386988,24.1786488067304,56
"191",2005-07-10,7,0,29.2,80,362.808467312616,9.84646442285435,24.7307854720321,26.2369821400637,49
"192",2005-07-11,1,0,29.9,75,361.280689534838,11.5686866450766,29.323047376794,24.1092043622859,63
"193",2005-07-12,2,0,30,73,365.169578423727,13.2866818141587,28.8438807101274,26.970315473397,50
"194",2005-07-13,3,0,29.8,75,413.420355424504,9.2197516428807,26.6192356088518,22.8988869019684,53
"195",2005-07-14,4,0,30,75,456.827827581976,11.4744105508005,27.1222507541439,24.6092043622859,42
"196",2005-07-15,5,0,30,77,567.549208053357,11.8270199784099,31.6505076942543,21.9008710289526,41
"197",2005-07-16,6,0,30.4,74,617.391800645949,14.6242422006321,35.4559666314524,20.1369821400637,49
"198",2005-07-17,7,0,30.3,71,612.452489191262,24.9529711943196,44.7135385418736,91.1055467302958,40
"199",2005-07-18,1,0,31.2,72,811.936184843436,56.3859744297557,64.5719335687469,142.543046730296,54
"200",2005-07-19,2,0,31.8,69,962.947356201505,87.6341628355528,85.7837927184089,165.480546730296,45
"201",2005-07-20,3,0,30.8,76,886.697356201505,50.0309882323782,63.1656716003965,117.470315473397,48
"202",2005-07-21,4,0,29,79,806.636420760135,34.2569277517959,68.9158259388117,67.8036488067304,50
"203",2005-07-22,5,0,26.5,89,670.622476974452,14.6401525832305,63.9497858982896,35.3869821400637,56
"204",2005-07-23,6,0,27.6,82,646.141800645949,12.3811866450766,53.7207854720321,39.3869821400637,44
"205",2005-07-24,7,0,28.7,82,631.558467312616,15.8409088672988,43.0519975932442,39.220315473397,58
"206",2005-07-25,1,0,29.5,76,604.75291175706,16.357828059218,51.2064832391773,33.720315473397,52
"207",2005-07-26,2,0,29.2,75,592.808467312616,17.2061135456614,49.5516188053655,28.595315473397,38
"208",2005-07-27,3,0,29.2,78,587.911124317447,19.2682898196797,38.8851804909092,57.7619821400637,42
"209",2005-07-28,4,0,29.4,81,563.919578423727,15.6011855471407,26.441898308471,34.8869821400637,47
"210",2005-07-29,5,0,27.4,92,565.936486636287,7.10523635267891,25.1935874043993,31.6369821400637,32
"211",2005-07-30,6,0,26.9,94,596.00291175706,8.02852964024566,27.9393288893991,27.6925376956192,37
"212",2005-07-31,7,0,27.1,94,634.16716296479,9.55479775618768,26.6001036538503,25.6092043622859,33
"213",2005-08-01,1,0,28.2,89,610.551738534148,12.9648219107771,27.469616004245,24.6000773781589,44
"214",2005-08-02,2,0,29.3,78,564.197356201505,12.029004105394,32.0723186528102,24.220315473397,46
"215",2005-08-03,3,0,29.4,77,599.336245090394,11.9050502814402,34.9435960310383,47.470315473397,34
"216",2005-08-04,4,0,29.7,79,644.10677649136,18.8742422006321,39.9359628175699,52.470315473397,48
"217",2005-08-05,5,0,29.8,78,759.185278906819,43.2808078571978,62.9079076252412,91.2441249972065,28
"218",2005-08-06,6,0,30.3,78,823.919578423727,51.3742422006321,62.9724521386988,114.386982140064,41
"219",2005-08-07,7,0,30.3,78,610.864022868171,13.6538315726128,32.5786115589886,44.095315473397,42
"220",2005-08-08,1,0,29.9,82,586.538626042775,9.86669389145339,29.3753218128843,36.0119821400637,51
"221",2005-08-09,2,0,28.1,88,582.530689534838,7.33257553396546,26.4927252479425,29.8036488067304,37
"222",2005-08-10,3,0,27.7,90,601.383346539669,6.67496683831329,25.9952782256553,36.595315473397,45
"223",2005-08-11,4,0,28.5,86,596.141800645949,13.0865437879337,23.7626409258841,28.1258710289526,47
"224",2005-08-12,5,0,29.4,75,941.836245090394,67.9297977561877,87.7272140434607,144.886982140064,49
"225",2005-08-13,6,0,26.7,90,796.00291175706,24.3090248093278,53.6807854720321,30.3869821400637,36
"226",2005-08-14,7,0,28.8,81,589.179240259476,10.1742531799909,29.3831024056706,36.4286488067304,38
"227",2005-08-15,1,0,27.6,88,617.391800645949,11.2124064518399,38.4617378529845,22.220315473397,52
"228",2005-08-16,2,0,26.2,94,634.475133979283,7.88132388706164,35.9317019255701,25.5536488067304,41
"229",2005-08-17,3,0,25.6,96,640.864022868171,6.98518862136116,35.2957854720321,22.4036488067303,36
"230",2005-08-18,4,0,25.9,92,636.165955235321,8.38019458158451,36.6923796749307,17.6092043622859,45
"231",2005-08-19,5,0,25.5,92,600.447356201505,6.33257553396546,34.6441981704448,18.8869821400637,41
"232",2005-08-20,6,0,25,93,582.530689534838,5.54392819097029,31.435547376794,37.1786488067304,36
"233",2005-08-21,7,0,27.2,90,687.947356201505,16.5409088672988,34.0079806979486,21.1286488067304,48
"234",2005-08-22,1,0,28.5,82,641.154426908575,18.5510098773998,33.5884129894423,28.3119821400637,48
"235",2005-08-23,2,0,28.8,80,656.00291175706,18.6242422006321,34.8972709792785,27.7619821400637,36
"236",2005-08-24,3,0,27.6,85,791.655085670104,29.9692714403982,60.6789738778292,25.4643630924446,39
"237",2005-08-25,4,0,27.5,80,1194.47513397928,59.1043146644002,87.8499883705828,84.6786488067304,41
"238",2005-08-26,5,0,27.1,88,841.558467312616,32.3494837465258,48.5034045196512,48.7619821400637,47
"239",2005-08-27,6,0,27.3,89,623.225133979283,20.0409088672988,35.5474521386988,32.1925376956192,35
"240",2005-08-28,7,0,28,86,564.155085670104,22.8742422006321,26.1170173560901,35.4814265845081,51
"241",2005-08-29,1,0,28,89,532.50291175706,9.64924220063213,21.3632854720321,21.1508710289526,53
"242",2005-08-30,2,0,28.3,85,562.808467312616,11.6445148024265,38.525235406156,24.845315473397,47
"243",2005-08-31,3,0,29.4,76,780.169578423727,61.0741214276853,84.9307854720321,138.345315473397,52
"244",2005-09-01,4,0,30.1,66,1128.466679873,75.8464644228544,85.2539564400241,126.720315473397,46
"245",2005-09-02,5,0,29.2,69,1027.37917438332,75.3742422006321,88.9061642599109,37.1786488067304,44
"246",2005-09-03,6,0,27.9,87,718.962616994299,34.8319716692312,53.8218482187518,44.3601357312523,39
"247",2005-09-04,7,0,26.7,93,532.712616994299,13.5064885774437,31.7260990605027,28.1101357312523,39
"248",2005-09-05,1,0,28.3,77,522.114022868171,33.5472219986119,51.0418965831432,55.1869821400637,44
"249",2005-09-06,2,0,27.9,82,1016.97513397928,71.9220682875886,99.7512400174867,135.400871028953,41
"250",2005-09-07,3,0,28.5,79,978.992042191843,63.013131089521,72.2686477908727,126.414759917841,39
"251",2005-09-08,4,0,27.9,86,639.44988145403,44.6797977561877,51.5443186296957,55.095315473397,41
"252",2005-09-09,5,0,28.4,80,756.141800645949,62.513131089521,63.3342999647857,89.3036488067304,42
"253",2005-09-10,6,0,28.2,77,989.891800645949,79.4575755339655,79.5796491083958,127.67864880673,49
"254",2005-09-11,7,0,28.7,75,1300.93648663629,114.318686645077,107.07212731131,243.720315473397,56
"255",2005-09-12,1,0,29.1,80,997.669578423727,87.8147889727006,69.6425457215865,94.470315473397,51
"256",2005-09-13,2,0,28.7,87,459.050311217503,10.0340248093278,24.55917031183,22.5274583305399,44
"257",2005-09-14,3,0,29.3,79,472.808467312616,16.4279861619848,33.612367597636,48.970315473397,51
"258",2005-09-15,4,0,29.1,80,435.200634324348,18.6103533117432,34.1143453846595,58.670315473397,37
"259",2005-09-16,5,0,29.5,76,491.818129148365,18.8047977561877,32.5595898198582,48.0119821400637,45
"260",2005-09-17,6,0,27.8,83,495.030689534838,13.9575755339655,24.1951794114261,44.5814265845081,34
"261",2005-09-18,7,0,28.2,86,518.364022868171,8.06566732140507,15.7234022755185,21.9147599178415,50
"262",2005-09-19,1,1,28.8,84,540.586245090394,8.49924220063213,21.047751181761,21.0119821400637,47
"263",2005-09-20,2,0,28.8,79,692.654958540686,54.3266231530131,75.0719244608084,60.0758710289526,38
"264",2005-09-21,3,0,29.5,77,674.812435566584,66.138131089521,91.1492378529845,101.664759917841,55
